exp,r1_s1,r2_s1,r3_s1,avg_s1,std_s1,unit_s1,r1_s2,r2_s2,r3_s2,avg_s2,std_s2,unit_s2,
th_1,952.341,952.341,952.341,952.341,6.10352e-05,Mbps,,,,,,,
th_2,476.195,476.195,476.195,476.195,0,Mbps,476.187,476.187,476.187,476.187,0,Mbps,
th_3,952.341,952.341,952.341,952.341,0,Mbps,,,,,,,
th_4,487.11,491.799,476.187,485.032,6.54093,Mbps,476.18,476.187,509.854,487.407,15.8723,Mbps,
th_5,476.187,477.545,476.187,476.64,0.640226,Mbps,540.297,476.18,490.868,502.449,27.4266,Mbps,
afct_1,0.435103,0.435103,0.435103,0.435103,0,Seconds,,,,,,,
afct_2,0.870161,0.870161,0.870161,0.870161,0,Seconds,0.870175,0.870175,0.870175,0.870175,5.96046e-08,Seconds,
afct_3,0.435103,0.435103,0.435103,0.435103,2.98023e-08,Seconds,,,,,,,
afct_4,0.850686,0.842551,0.870175,0.854471,0.0115908,Seconds,0.870187,0.870175,0.812715,0.851026,0.0270898,Seconds,
afct_5,0.870175,0.867724,0.870175,0.869358,0.00115533,Seconds,0.766922,0.870187,0.844149,0.827086,0.0438503,Seconds,
